Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Buddy Distance,Charged Move Cost
Palpitoad,70.2,water,ground,116.6,101.6,162,1919059,48.5,Mud Shot,Earth Power,Sludge Wave,3,50000
Aerodactyl,70,rock,flying,135,103.9,118,1656037,20,Rock Throw,Rock Slide,Earth Power,5,75000
Cinccino,70,normal,none,135.5,95.9,127,1650504,24.5,Charm,Aqua Tail,Thunderbolt,3,50000
Hippopotas,70,ground,none,115.3,111.1,152,1946522,49,Bite,Body Slam,Rock Tomb,3,50000
Simipour,70,water,none,136.6,94.5,126,1627774,23.5,Water Gun,Surf,Crunch,3,50000
Scyther,69.9,bug,flying,134.9,110.7,111,1657053,20.5,Fury Cutter,Night Slash,X-Scissor,5,75000
Slowking (Shadow),69.9,water,psychic,113.4,120.9,143,1961133,22,Confusion,Psychic,Blizzard,3,50000
Combusken,69.8,fire,fighting,131,99.6,131,1710523,39,Ember,Rock Slide,Flame Charge,3,10000
Darumaka,69.8,fire,none,132,83.5,154,1697707,49,Fire Fang,Fire Punch,Flame Charge,3,50000
Meowstic (Female),69.8,psychic,none,117.6,124.5,130,1902817,26.5,Confusion,Psychic,Shadow Ball,3,50000
Ponyta,69.8,fire,none,134.8,109.4,113,1666179,36.5,Ember,Flame Charge,Stomp,3,50000
Entei,69.7,fire,none,128.8,96.2,141,1746495,16,Fire Spin,Flame Charge,Iron Head,20,100000
Entei (Shadow),69.7,fire,none,128.8,96.2,141,1746495,16,Fire Spin,Flame Charge,Iron Head,20,100000
Mr. Mime (Galarian),69.7,ice,psychic,131.2,127.7,102,1709143,27,Confusion,Ice Punch,Psychic,5,75000
Vanillish,69.7,ice,none,124.1,119.3,122,1805667,41,Frost Breath,Icy Wind,Signal Beam,3,50000
Jolteon,69.6,electric,none,138.6,113,103,1612419,19,Volt Switch,Discharge,Last Resort,5,75000
Magmar,69.6,fire,none,136.6,107.5,112,1645117,23.5,Karate Chop,Fire Punch,Return,5,75000
Mismagius (Shadow),69.6,ghost,none,133.8,120.8,104,1680621,21.5,Hex,Shadow Ball,Dark Pulse,3,50000
Armaldo,69.5,rock,bug,133.3,110.9,113,1670643,19.5,Fury Cutter,Rock Blast,Cross Poison,3,50000
Clamperl,69.5,water,none,124.4,126,105,1645929,50,Water Gun,Body Slam,Ice Beam,3,50000
Lumineon,69.5,water,none,109.5,137.2,136,2042625,33,Water Gun,Blizzard,Silver Wind,3,50000
Machop,69.5,fighting,none,127.7,81.5,157,1634495,50,Karate Chop,Cross Chop,Return,3,50000
Oddish,69.4,grass,poison,122.7,106.7,120,1571110,50,Razor Leaf,Seed Bomb,Sludge Bomb,3,50000
Plusle,69.4,electric,none,129.2,107.3,125,1733312,34,Spark,Thunderbolt,Grass Knot,3,50000
Dustox,69.3,bug,poison,95,148.7,142,2005436,50,Confusion,Sludge Bomb,Bug Buzz,1,10000
Exploud,69.3,normal,none,119.8,98.4,158,1863205,23.5,Bite,Crunch,Disarming Voice,1,10000
Heatmor,69.3,fire,none,133.3,91.6,136,1660290,23,Fire Spin,Flamethrower,Thunder Punch,3,50000
Magcargo,69.3,fire,rock,110.2,157.9,116,2017737,36.5,Ember,Stone Edge,Overheat,1,10000
Garbodor,69.2,poison,none,121.7,114.6,132,1842015,23.5,Infestation,Body Slam,Seed Bomb,3,50000
Snover,69.2,grass,ice,109.2,100.8,142,1564162,50,Powder Snow,Ice Beam,Energy Ball,3,50000
Geodude,69.1,rock,ground,123.5,123.5,113,1724177,50,Rock Throw,Rock Slide,Dig,1,10000
Braixen,69,fire,none,130.4,106.7,123,1710666,31.5,Ember,Psyshock,Flame Charge,3,10000
Exeggutor,69,grass,psychic,136.7,93.7,128,1639303,18.5,Bullet Seed,Psychic,Seed Bomb,3,50000
Onix,69,rock,ground,84,207.6,105,1831281,50,Rock Throw,Rock Slide,Stone Edge,5,75000
Conkeldurr,68.9,fighting,none,134.6,93.3,132,1657948,16.5,Counter,Dynamic Punch,Stone Edge,5,75000
Turtwig,68.9,grass,none,112.6,105,135,1596678,50,Razor Leaf,Body Slam,Seed Bomb,3,10000
Infernape,68.8,fire,fighting,136.7,100.4,118,1619407,20.5,Fire Spin,Close Combat,Blast Burn,3,10000
Rotom (Wash),68.8,electric,water,129.2,143.2,93,1720709,21,Thunder Shock,Thunderbolt,Hydro Pump,5,75000
Monferno,68.7,fire,fighting,129.6,95.4,139,1719672,41,Ember,Flamethrower,Low Sweep,3,10000
Omanyte,68.7,rock,water,129.2,131.7,102,1735737,44.5,Mud Shot,Rock Blast,Brine,5,75000
Lombre,68.6,water,grass,106.7,112.6,142,1706340,50,Bubble,Grass Knot,Ice Beam,3,50000
Lunatone,68.6,rock,psychic,119.8,108.8,143,1863825,23.5,Confusion,Rock Slide,Psychic,3,50000
Rhyperior,68.6,ground,rock,126.8,105.5,132,1766090,15,Smack Down,Rock Wrecker,Superpower,3,50000
Solrock,68.6,rock,psychic,119.8,108.8,143,1863825,23.5,Confusion,Rock Slide,Psychic,3,50000
Nidoqueen,68.5,poison,ground,117.8,116.5,139,1908186,22,Poison Jab,Earth Power,Stone Edge,3,50000
Blissey,68.4,normal,none,81.4,110.2,307,2754156,21,Pound,Psychic,Hyper Beam,5,75000
Karrablast,68.4,bug,none,127.7,85.7,127,1390325,50,Fury Cutter,X-Scissor,Drill Run,3,50000
Exeggutor (Shadow),68.3,grass,psychic,136.7,93.7,128,1639303,18.5,Bullet Seed,Psychic,Seed Bomb,3,50000
Wartortle (Shadow),68.3,water,none,107.9,137.8,139,2067932,48,Water Gun,Ice Beam,Hydro Pump,3,10000
Exeggcute (Shadow),68.2,grass,psychic,102.5,117.6,142,1712557,50,Confusion,Seed Bomb,Psychic,3,50000
Meowstic (Male),68.2,psychic,none,117.6,124.5,130,1902817,26.5,Confusion,Psychic,Energy Ball,3,50000
Poliwhirl (Shadow),68.1,water,none,115.1,114.3,148,1947108,50,Bubble,Mud Bomb,Scald,3,50000
Swadloon,68.1,bug,grass,106.7,147.9,133,2099118,50,Bug Bite,Energy Ball,Bug Buzz,1,10000
Loudred,67.9,normal,none,125.2,80.7,178,1797820,50,Bite,Stomp,Disarming Voice,1,10000
Pignite,67.9,fire,fighting,128.4,84.2,161,1740293,29.5,Ember,Flame Charge,Flamethrower,3,10000
Vibrava (Shadow),67.9,ground,dragon,125.2,95.8,127,1523223,50,Dragon Breath,Bug Buzz,Bulldoze,5,75000
Weepinbell,67.9,grass,poison,139.2,83.7,138,1606435,38.5,Bullet Seed,Power Whip,Sludge Bomb,3,50000
Weepinbell (Shadow),67.8,grass,poison,139.2,83.7,138,1606435,38.5,Bullet Seed,Power Whip,Sludge Bomb,3,50000
Aipom (Shadow),67.7,normal,none,126.1,105.2,134,1778842,49,Scratch,Aerial Ace,Low Sweep,3,50000
Golurk,67.7,ground,ghost,133.9,96.7,129,1671084,19.5,Mud Slap,Shadow Punch,Earth Power,5,75000
Pyroar,67.7,fire,normal,135,98,125,1653456,20,Fire Fang,Flame Charge,Dark Pulse,3,10000
Kangaskhan,67.6,normal,none,115.9,112.8,148,1934823,22,Mud Slap,Stomp,Crunch,3,50000
Snover (Shadow),67.6,grass,ice,109.2,100.8,142,1564162,50,Powder Snow,Ice Beam,Energy Ball,3,50000
Grumpig,67.5,psychic,none,114.5,128.3,133,1953798,24,Extrasensory,Psychic,Shadow Ball,1,10000
Sandshrew (Shadow),67.5,ground,none,118.5,113.4,127,1706968,50,Mud Shot,Rock Slide,Sand Tomb,3,50000
Unfezant,67.3,normal,flying,139.2,96.2,120,1606547,20,Air Slash,Sky Attack,Hyper Beam,1,10000
Arbok,67.2,poison,none,123.7,120.1,121,1798747,29,Dragon Tail,Dark Pulse,Sludge Wave,3,50000
Basculin,67.2,water,none,134,96.5,129,1667480,27,Water Gun,Aqua Tail,Muddy Water,1,10000
Exeggcute,67.1,grass,psychic,102.5,117.6,142,1712557,50,Confusion,Seed Bomb,Psychic,3,50000
Masquerain,67.1,bug,flying,130.3,107.8,122,1712792,24.5,Air Slash,Bubble Beam,Lunge,1,10000
Sunflora,67.1,grass,none,128.7,102.2,131,1723173,26,Bullet Seed,Sludge Bomb,Leaf Storm,3,50000
Miltank,67,normal,none,105.4,135.5,148,2112476,24,Tackle,Body Slam,Ice Beam,5,75000
Porygon,67,normal,none,120.8,114.7,134,1856061,35.5,Quick Attack,Discharge,Hyper Beam,3,50000
Parasect,66.9,bug,grass,124.2,118.3,122,1792012,30.5,Fury Cutter,X-Scissor,Cross Poison,3,50000
Yanmega,66.9,bug,flying,137.3,98.3,121,1632541,18.5,Wing Attack,Aerial Ace,Bug Buzz,3,50000
Nosepass,66.7,rock,none,81.5,193.3,98,1543812,50,Rock Throw,Rock Slide,Rock Blast,3,50000
Swoobat,66.7,psychic,flying,126.9,100.9,138,1767259,35.5,Confusion,Psychic,Aerial Ace,1,10000
Braviary,66.6,normal,flying,134.3,94.1,132,1668093,18,Air Slash,Brave Bird,Close Combat,5,75000
Exeggutor (Alolan),66.3,grass,dragon,134.4,94.2,131,1659647,18.5,Bullet Seed,Seed Bomb,Dragon Pulse,3,50000
Musharna,66.3,psychic,none,113.7,108.9,159,1968272,20.5,Charge Beam,Psyshock,Future Sight,3,50000
Pupitar (Shadow),66.3,rock,ground,121.1,112.7,136,1856138,35,Bite,Crunch,Ancient Power,5,75000
Furret,66.2,normal,none,116.1,105.4,158,1933854,34.5,Quick Attack,Brick Break,Hyper Beam,1,10000
Machop (Shadow),66.2,fighting,none,127.7,81.5,157,1634495,50,Karate Chop,Cross Chop,Brick Break,3,50000
Marowak (Shadow),66.1,ground,none,110.8,145,126,2025310,32,Mud Slap,Bone Club,Earthquake,3,50000
Delphox,66,fire,psychic,132.6,115.6,109,1671331,18,Fire Spin,Psychic,Flame Charge,3,10000
Weezing,66,poison,none,118.4,138.9,115,1889997,24.5,Infestation,Sludge Bomb,Dark Pulse,3,50000
Simisear,65.9,fire,none,136.6,94.5,126,1627774,23.5,Fire Spin,Crunch,Flamethrower,3,50000
Dodrio,65.8,normal,flying,144.4,99.1,108,1545284,23.5,Feint Attack,Brave Bird,Drill Peck,3,50000
Magby,65.8,fire,none,139.5,95.8,120,1603478,50,Karate Chop,Fire Punch,Brick Break,5,10000
Skrelp,65.8,poison,water,104.2,104.2,127,1378846,50,Water Gun,Aqua Tail,Sludge Bomb,3,50000
Emboar,65.7,fire,fighting,137.9,79.9,147,1618930,18.5,Ember,Rock Slide,Flame Charge,3,10000
Watchog,65.7,normal,none,126.4,113.2,124,1773125,30.5,Bite,Hyper Fang,Crunch,1,10000
Marowak,65.5,ground,none,110.8,145,126,2025310,32,Mud Slap,Bone Club,Earthquake,3,50000
Lilligant,65.3,grass,none,135,105.3,115,1635127,21.5,Charm,Petal Blizzard,Hyper Beam,1,10000
Beheeyem,64.9,psychic,none,134.4,105.7,116,1648710,20,Confusion,Rock Slide,Psychic,3,50000
Arbok (Shadow),64.8,poison,none,123.7,120.1,121,1798747,29,Dragon Tail,Dark Pulse,Sludge Wave,3,50000
Darmanitan (Galarian),64.8,ice,none,151.3,71.4,137,1480445,18,Ice Fang,Avalanche,Superpower,3,50000
Walrein (Shadow),64.8,ice,water,113.1,114.3,153,1978119,20.5,Waterfall,Blizzard,Earthquake,3,50000
Frogadier,64.7,water,none,135.4,99.2,123,1653012,39.5,Bubble,Surf,Aerial Ace,3,10000
Girafarig,64.7,normal,psychic,129.1,102.7,129,1711052,27,Confusion,Psychic,Thunderbolt,3,50000
Nosepass (Shadow),64.7,rock,none,81.5,193.3,98,1543812,50,Rock Throw,Rock Slide,Rock Blast,3,50000
Ambipom (Shadow),64.5,normal,none,133.9,99.9,124,1659351,23,Scratch,Aerial Ace,Hyper Beam,3,50000
Dugtrio (Shadow),64.5,ground,none,136.4,120.5,99,1627049,41.5,Sucker Punch,Mud Bomb,Stone Edge,3,50000
Lampent,64.5,ghost,fire,133.3,97.1,130,1681422,36.5,Ember,Energy Ball,Flame Burst,5,75000
Samurott,64.4,water,none,129,102.2,132,1740020,20,Fury Cutter,Megahorn,Hydro Pump,3,10000
Nidoqueen (Shadow),64.3,poison,ground,117.8,116.5,139,1908186,22,Poison Jab,Earth Power,Stone Edge,3,50000
Yanma,64.3,bug,flying,131.6,87.4,148,1702917,48.5,Wing Attack,Aerial Ace,Silver Wind,3,50000
Xatu,64,psychic,flying,132.9,107.3,118,1681956,25.5,Air Slash,Future Sight,Aerial Ace,3,50000
Crobat,63.8,poison,flying,121.8,115.7,130,1832248,21,Air Slash,Sludge Bomb,Shadow Ball,1,10000
Maractus,63.8,grass,none,136.8,93.6,128,1638424,24,Bullet Seed,Aerial Ace,Petal Blizzard,1,10000
Vibrava,63.6,ground,dragon,125.2,95.8,127,1523223,50,Dragon Breath,Bug Buzz,Bulldoze,5,75000
Pupitar,63.4,rock,ground,121.1,112.7,136,1856138,35,Bite,Crunch,Ancient Power,5,75000
Mothim,63.3,bug,flying,140,83,137,1591422,31.5,Air Slash,Aerial Ace,Bug Buzz,1,10000
Walrein,63.3,ice,water,113.1,114.3,153,1978119,20.5,Waterfall,Blizzard,Earthquake,3,50000
Weezing (Shadow),63.3,poison,none,118.4,138.9,115,1889997,24.5,Infestation,Sludge Bomb,Dark Pulse,3,50000
Aipom,63.2,normal,none,126.1,105.2,134,1778842,49,Scratch,Aerial Ace,Low Sweep,3,50000
Chespin,63.2,grass,none,105,101.7,136,1452456,50,Vine Whip,Body Slam,Seed Bomb,3,10000
Rayquaza,63.2,dragon,flying,146.5,92,113,1522152,14,Dragon Tail,Outrage,Aerial Ace,20,100000
Rhydon,63.2,ground,rock,126.7,102.4,136,1765046,17,Mud Slap,Stone Edge,Surf,3,50000
Rhyhorn,63.1,ground,rock,113.4,110.2,158,1974352,38.5,Mud Slap,Stomp,Horn Attack,3,50000
Golett,63,ground,ghost,119.3,89.9,141,1512725,50,Mud Slap,Shadow Punch,Brick Break,5,75000
Porygon-Z,62.9,normal,none,148.7,88.4,115,1512352,16.5,Lock On,Tri Attack,Zap Cannon,3,50000
Bulbasaur,62.8,grass,poison,111.8,105.9,120,1419947,50,Vine Whip,Power Whip,Sludge Bomb,3,10000
Sawsbuck,62.8,normal,grass,130.1,103.1,128,1717029,23,Feint Attack,Wild Charge,Megahorn,3,50000
Seel,62.8,water,none,84,114.3,149,1430849,50,Water Gun,Aqua Tail,Icy Wind,3,50000
Sigilyph,62.7,psychic,flying,131.6,114,114,1710530,22,Air Slash,Ancient Power,Signal Beam,5,75000
Drowzee,62.6,psychic,none,87.4,126.9,142,1574590,50,Confusion,Psyshock,Psychic,3,50000
Elgyem,62.6,psychic,none,134,94.7,132,1675163,49.5,Confusion,Psychic,Dark Pulse,3,50000
Whirlipede,62.5,bug,poison,96.6,158,113,1725055,50,Bug Bite,Sludge Bomb,Signal Beam,1,10000
Bulbasaur (Shadow),62.4,grass,poison,111.8,105.9,120,1419947,50,Vine Whip,Power Whip,Sludge Bomb,3,10000
Trapinch (Shadow),62.4,ground,none,148.7,78.1,120,1394782,50,Mud Shot,Crunch,Sand Tomb,5,75000
Wormadam (Sandy),62.4,bug,ground,109.9,146.8,126,2032523,33.5,Confusion,Bug Buzz,Bulldoze,1,10000
Raticate,62.2,normal,none,125.9,115.3,122,1771626,34.5,Quick Attack,Hyper Fang,Return,1,10000
Wormadam (Plant),62.2,bug,grass,109.9,146.8,126,2032523,33.5,Confusion,Energy Ball,Bug Buzz,1,10000
Drowzee (Shadow),62.1,psychic,none,87.4,126.9,142,1574590,50,Confusion,Psyshock,Psychic,3,50000
Elekid,62.1,electric,none,126,97.5,120,1474345,50,Thunder Shock,Thunder Punch,Brick Break,5,10000
Gabite,62.1,dragon,ground,128.8,101,133,1729456,30,Mud Shot,Flamethrower,Twister,5,75000
Jynx,62.1,ice,psychic,142.2,101.5,109,1573630,22,Confusion,Avalanche,Psyshock,5,75000
Crobat (Shadow),61.9,poison,flying,121.8,115.7,130,1832248,21,Air Slash,Sludge Bomb,Shadow Ball,1,10000
Donphan,61.7,ground,none,125.8,112,126,1776372,18.5,Counter,Earthquake,Heavy Slam,3,50000
Porygon-Z (Shadow),61.6,normal,none,148.7,88.4,115,1512352,16.5,Lock On,Tri Attack,Zap Cannon,3,50000
Sandshrew,61.6,ground,none,118.5,113.4,127,1706968,50,Mud Shot,Rock Slide,Sand Tomb,3,50000
Breloom,61.3,grass,fighting,150.6,97.3,101,1480402,21,Counter,Dynamic Punch,Grass Knot,3,50000
Camerupt,60.9,fire,ground,134.9,101.2,122,1665522,25.5,Ember,Overheat,Earth Power,3,50000
Mesprit,60.9,psychic,none,124.1,125.8,116,1811528,18,Confusion,Future Sight,Blizzard,20,100000
Garchomp,60.8,dragon,ground,132.5,102.5,124,1683122,14,Mud Shot,Outrage,Earthquake,5,75000
Pidgeotto,60.8,normal,flying,110.9,100.8,147,1644149,50,Wing Attack,Aerial Ace,Twister,1,10000
Clawitzer,60.7,water,none,134.4,110.5,111,1648951,20,Water Gun,Crabhammer,Dark Pulse,3,50000
Herdier,60.7,normal,none,119.7,110.9,141,1871188,41.5,Lick,Thunderbolt,Play Rough,1,10000
Illumise,60.5,bug,none,111.1,136.8,132,2005636,34,Struggle Bug,Bug Buzz,Silver Wind,3,50000
Nidoking,60.5,poison,ground,130.1,104.1,127,1719018,21.5,Poison Jab,Earth Power,Megahorn,3,50000
Fearow,60.3,normal,flying,132.6,102.7,124,1689204,28.5,Peck,Sky Attack,Drill Run,1,10000
Shellos (East),60.2,water,none,99.2,100.8,166,1659740,50,Mud Slap,Body Slam,Mud Bomb,3,50000
Shellos (West),60.2,water,none,99.2,100.8,166,1659740,50,Mud Slap,Body Slam,Mud Bomb,3,50000
Sawk,60.1,fighting,none,141,99.8,113,1589415,20,Poison Jab,Body Slam,Low Sweep,5,75000
Beautifly,60,bug,flying,146.4,81.9,128,1535506,34.5,Infestation,Bug Buzz,Silver Wind,1,10000
Eevee,59.8,normal,none,100,108.4,135,1463320,50,Quick Attack,Body Slam,Last Resort,5,75000
Floatzel,59.8,water,none,143.8,81.1,133,1551619,22.5,Waterfall,Hydro Pump,Aqua Jet,3,50000
Seadra,59.8,water,none,132.6,114.5,111,1685540,27,Dragon Breath,Hydro Pump,Blizzard,3,50000
Totodile,59.8,water,none,110.9,104.2,127,1467804,50,Water Gun,Crunch,Aqua Jet,3,10000
Flaaffy,59.6,electric,none,121.9,99.8,151,1835783,45.5,Charge Beam,Discharge,Return,5,75000
Trapinch,59.6,ground,none,148.7,78.1,120,1394782,50,Mud Shot,Crunch,Return,5,75000
Volbeat,59.6,bug,none,111.1,136.8,132,2005636,34,Struggle Bug,Signal Beam,Thunderbolt,3,50000
Ambipom,59.4,normal,none,133.9,99.9,124,1659351,23,Scratch,Aerial Ace,Hyper Beam,3,50000
Swanna,59.4,water,flying,129.3,99.7,134,1727466,26.5,Air Slash,Hurricane,Ice Beam,3,50000
Sandslash,58.9,ground,none,120.5,121.1,126,1837863,23.5,Mud Shot,Earthquake,Bulldoze,3,50000
Cofagrigus,58.8,ghost,none,112.2,168.3,106,2002086,25,Astonish,Shadow Ball,Dark Pulse,3,50000
Koffing,58.7,poison,none,112.6,131.1,113,1667925,50,Infestation,Dark Pulse,Sludge Bomb,3,50000
Goldeen,58.5,water,none,116,105,120,1461636,50,Mud Shot,Aqua Tail,Horn Attack,3,50000
Noivern,58.5,flying,dragon,126.4,110.7,127,1776882,20.5,Air Slash,Hurricane,Psychic,5,75000
Vanilluxe,58.5,ice,none,131.5,116.8,110,1690058,19.5,Frost Breath,Blizzard,Signal Beam,3,50000
Runerigus,58.4,ground,ghost,112.2,168.3,106,2002086,25,Astonish,Shadow Ball,Sand Tomb,3,50000
Azelf,58.3,psychic,none,152.6,91.4,105,1464716,17,Confusion,Future Sight,Fire Blast,20,100000
Buneary,58.1,normal,none,121.8,100.8,135,1658639,50,Quick Attack,Fire Punch,Swift,3,50000
Clauncher,58.1,water,none,103.4,110.9,127,1455967,50,Water Gun,Crabhammer,Aqua Jet,3,50000
Espeon,58,psychic,none,147.6,104.1,98,1505910,17,Confusion,Psychic,Last Resort,5,75000
Roselia,57.7,grass,poison,139.6,107.3,107,1602355,30.5,Poison Jab,Sludge Bomb,Petal Blizzard,3,50000
Flaaffy (Shadow),57.6,electric,none,121.9,99.8,151,1835783,45.5,Charge Beam,Discharge,Power Gem,5,75000
Chatot,57.4,normal,flying,140.4,78.4,145,1596254,32.5,Peck,Sky Attack,Night Shade,5,75000
Octillery,56.9,water,none,132.9,103.2,123,1686230,24.5,Water Gun,Octazooka,Aurora Beam,1,10000
Audino,56.8,normal,none,92.6,138.1,189,2416540,39,Pound,Disarming Voice,Hyper Beam,3,50000
Nidoking (Shadow),56.8,poison,ground,130.1,104.1,127,1719018,21.5,Poison Jab,Earth Power,Megahorn,3,50000
Starmie,56.4,water,psychic,132.2,121.8,104,1675198,21,Water Gun,Psychic,Ice Beam,3,50000
Kabuto,56.3,rock,water,133.6,128.6,97,1667621,49,Mud Shot,Ancient Power,Aqua Jet,5,75000
Sandslash (Shadow),56.1,ground,none,120.5,121.1,126,1837863,23.5,Mud Shot,Earthquake,Bulldoze,3,50000
Drilbur,56,ground,none,139.5,81.9,141,1610077,49,Mud Slap,Drill Run,Rock Tomb,3,50000
Cubone (Shadow),55.8,ground,none,88.2,133.6,127,1497128,50,Mud Slap,Bone Club,Bulldoze,3,50000
Deoxys (Speed),55.2,psychic,none,140.8,131.6,86,1592886,18.5,Charge Beam,Psycho Boost,Thunderbolt,20,100000
Koffing (Shadow),55.2,poison,none,112.6,131.1,113,1667925,50,Infestation,Dark Pulse,Sludge Bomb,3,50000
Piplup,55.1,water,none,106.7,98.3,131,1374452,50,Bubble,Drill Peck,Icy Wind,3,10000
Raticate (Shadow),55.1,normal,none,125.9,115.3,122,1771626,34.5,Quick Attack,Hyper Fang,Hyper Beam,1,10000
Butterfree,55,bug,flying,126.7,111.9,124,1757032,31.5,Confusion,Psychic,Signal Beam,1,10000
Axew,54.9,dragon,none,139.5,95.2,121,1607281,49,Scratch,Dragon Claw,Aqua Tail,5,75000
Thundurus (Therian),54.8,electric,flying,155.7,89.5,103,1435795,15,Volt Switch,Thunderbolt,Focus Blast,20,100000
Tentacool,54.7,water,poison,94.1,137.8,113,1465578,50,Bubble,Wrap,Bubble Beam,3,50000
Skorupi,54.6,poison,bug,90.8,139.5,113,1430471,50,Infestation,Aqua Tail,Cross Poison,5,75000
Flareon,54.1,fire,none,141.7,110,100,1557872,18,Fire Spin,Flamethrower,Overheat,5,75000
Anorith (Shadow),53.7,rock,bug,147,92.1,113,1529912,43.5,Struggle Bug,Ancient Power,Cross Poison,3,50000
Ponyta (Galarian),53.7,psychic,none,134.8,109.4,113,1666179,36.5,Psycho Cut,Play Rough,Psybeam,3,50000
Salamence (Shadow),53.4,dragon,flying,142.9,92.6,117,1548425,14.5,Dragon Tail,Outrage,Hydro Pump,5,75000
Krabby,53.2,water,none,148.1,110.4,92,1504334,42,Bubble,Vise Grip,Bubble Beam,3,50000
Cubone,53.1,ground,none,88.2,133.6,127,1497128,50,Mud Slap,Bone Club,Return,3,50000
Porygon (Shadow),53,normal,none,120.8,114.7,134,1856061,35.5,Charge Beam,Discharge,Signal Beam,3,50000
Salamence,52.7,dragon,flying,142.9,92.6,117,1548425,14.5,Dragon Tail,Outrage,Hydro Pump,5,75000
Gorebyss,52.5,water,none,136.9,118.5,101,1638002,22.5,Confusion,Psychic,Water Pulse,3,50000
Anorith,51.5,rock,bug,147,92.1,113,1529912,43.5,Struggle Bug,Ancient Power,Cross Poison,3,50000
Accelgor,51.4,bug,none,143.2,84.3,129,1556853,22.5,Infestation,Bug Buzz,Acid Spray,3,50000
Stantler (Shadow),51.3,normal,none,133.5,99.5,126,1672954,26,Tackle,Wild Charge,Stomp,3,50000
Throh,51.2,fighting,none,110.3,107.8,170,2020070,21.5,Low Kick,Body Slam,Low Sweep,5,75000
Phanpy,50.6,ground,none,102.5,95,186,1810589,50,Rock Smash,Body Slam,Rock Slide,3,50000
Pineco (Shadow),50.5,bug,none,103.4,115.1,127,1511117,50,Bug Bite,Rock Tomb,Gyro Ball,5,75000
Corphish,50.3,water,none,131.1,95.8,117,1469211,50,Bubble,Aqua Jet,Vise Grip,3,50000
Tauros,50.3,normal,none,125.1,118.9,120,1785591,21.5,Tackle,Horn Attack,Earthquake,3,50000
Pineco,50,bug,none,103.4,115.1,127,1511117,50,Bug Bite,Return,Rock Tomb,5,75000
Stantler,49.7,normal,none,133.5,99.5,126,1672954,26,Tackle,Wild Charge,Stomp,3,50000
Duosion,49.5,psychic,none,149.2,82.7,121,1492507,27.5,Hidden Power (Psychic),Psyshock,Thunder,3,50000
Munna,48.4,psychic,none,105.9,89.9,166,1580270,50,Charge Beam,Psyshock,Dazzling Gleam,3,50000
Solosis,48.4,psychic,none,152.9,79.8,120,1465025,50,Hidden Power (Psychic),Psyshock,Thunder,3,50000
Deerling,45.9,normal,grass,109.2,96.6,142,1498988,50,Tackle,Wild Charge,Seed Bomb,3,50000
Spoink,45.9,psychic,none,117.6,115.1,140,1896031,50,Zen Headbutt,Shadow Ball,Mirror Coat,1,10000
Hitmonlee (Shadow),45.1,fighting,none,142.5,121.4,91,1573887,21.5,Rock Smash,Close Combat,Stone Edge,5,75000
Lopunny,44.8,normal,none,112.1,146.4,121,1985734,27.5,Pound,Fire Punch,Hyper Beam,3,50000
Timburr,44.5,fighting,none,125.2,85.7,164,1759945,50,Low Kick,Brick Break,Rock Tomb,5,75000
Unown,43.3,psychic,none,126.9,89.1,125,1412738,50,Hidden Power (Psychic),Struggle,,5,75000
Cherrim (Overcast),42.6,grass,none,122.9,115.2,129,1826290,27,Bullet Seed,Solar Beam,Hyper Beam,1,10000
Hitmonlee,42.6,fighting,none,142.5,121.4,91,1573887,21.5,Rock Smash,Close Combat,Stone Edge,5,75000
Reuniclus,42.6,psychic,none,127.6,93.7,147,1756073,18.5,Hidden Power (Fighting),Future Sight,Shadow Ball,3,50000
Slaking,30.8,normal,none,139.3,83.6,138,1607595,12.5,Yawn,Body Slam,Earthquake,5,75000
